OBJECTID,TOID,ROADLABEL,DESCTERM,NATURE,TLRN_DATE,LAST_EDIT_DATE,Shape__Length
774965,4000000030209111,Balham High Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,75.5680050901425
774966,4000000030153470,Parkhurst Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,118.404555366075
774967,4000000030459973,Limehouse Link,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,16.4012194665444
774968,4000000030425904,Green Lanes,A Road,Slip Road,19/04/2017,2022/01/21 15:31:45+00,27.7856827348237
774969,4000000031232834,City Road,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:44+00,20.8249397856597
774970,4000000030701223,Causeway,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,44.3420923488889
774971,4000000030257904,Eastern Avenue,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,144.148998112022
774972,4000000030130991,Morden Hall Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,117.577879704495
774973,4000000030156955,Eastern Avenue,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,131.516746047126
774974,4000000030213857,Ram Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,65.2088352273407
774975,4000000030416156,Bromley Hill,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,22.5299640956021
774976,4000000030475689,Westhorne Avenue,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,9.99999999960419
774977,4000000030321635,York Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,82.4975432628079
774978,5000005223820169,Vauxhall Bridge,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,134.512794997511
774979,4000000030154680,Pinkham Way North Circular Road,A Road,Slip Road,19/04/2017,2022/01/21 15:31:45+00,188.975587604086
774980,4000000030130164,Oldfields Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,124.062183446557
774981,4000000030356260,Seven Sisters Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,67.8062484751619
774982,4000000031026301,Purley Way,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,55.4859641061039
774983,4000000031142150,Clapham Common South Side,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,13.5249449237152
774984,4000000030209666,Great South-West Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,119.367673782551
774985,4000000030235370,Tulse Hill,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,85.1039142572588
774986,4000000030332778,Edgware Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,48.796594927993
774987,5000005253296526,Eastern Avenue East,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,57.0377841298484
774988,5000005256800401,Gloucester Place,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:47+00,21.6484431312916
774989,4000000030700430,Watford Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,51.9823833721773
774990,5000005117452387,Sangley Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,11.0121003717681
774991,4000000030135009,Talgarth Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,222.625782149653
774992,5000005189560936,Molesworth Street,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,13.8043934881489
774993,4000000030238220,Old Kent Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,119.846383635565
774994,4000000030701303,Manor Road North,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,42.5999937828843
774995,4000000030095214,Malden Way (Kingston By Pass),A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,336.271564802634
774996,4000000030154773,Bowes Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,149.366125140535
774997,5000005102165358,Telford Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,11.4003010966502
774998,4000000031104358,Clifford Avenue,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:47+00,44.5757720964332
774999,4000000030816538,The Highway,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,23.81283625663
775000,4000000031006626,Garratt Lane,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,11.9792529322589
775001,4000000030350268,A224,A Road,Roundabout,19/04/2017,2022/01/21 15:31:46+00,39.5540684658709
775002,4000000030216159,Cromwell Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,85.9040447243186
775003,4000000030418486,Great Dover Street,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,33.6133897863135
775004,4000000030392113,Purley Way,Unknown,Slip Road,19/04/2017,2022/01/21 15:31:44+00,27.3954721061667
775005,4000000030474836,Tooting Bec Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,5.36149055714531
775006,4000000031110222,Commercial Street,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,14.7231934786756
775007,4000000030148597,Westhorne Avenue,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,225.892482417327
775008,4000000030459572,City Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,17.4517785749812
775009,4000000030456515,Spur Road Roundabout,A Road,Roundabout,19/04/2017,2022/01/21 15:31:44+00,16.030782985355
775010,5000005131025470,Stonecot Hill,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:46+00,29.9579087777601
775011,4000000030215535,Western Avenue,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,105.315805056243
775012,5000005153388169,Albert Embankment,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,11.9033576776195
775013,5000005158015973,Bromley Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,17.401747393716
775014,5000005214215970,Wickham Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,10.3880675986087
775015,4000000030457111,Mitcham Road,A Road,Roundabout,19/04/2017,2022/01/21 15:31:45+00,18.9725273355614
775016,4000000030419521,Old Kent Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,26.173662201181
775017,4000000030240742,Bishopsgate,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,177.392038253414
775018,5000005275279045,Jamaica Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:47+00,47.6204054368136
775019,4000000030464189,Woodford Avenue,A Road,Roundabout,19/04/2017,2022/01/21 15:31:44+00,22.0977117954684
775020,5000005169892080,Brixton Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,52.5101794041629
775021,4000000030148187,St Mildreds Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,69.3896521544217
775022,4000000030361477,Eastern Avenue,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:43+00,26.8328157315463
775023,5000005211856611,Brighton Road,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:45+00,17.1376589345279
775024,4000000030452989,Hogarth Lane,A Road,Roundabout,19/04/2017,2022/01/21 15:31:45+00,11.1817820431723
775025,4000000030402195,High Street,B Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,21.6791578844223
775026,4000000030943585,Old Kent Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,76.6145216194299
775027,4000000030476391,King's Cross Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,5.65685425120048
775028,4000000030146339,Stanstead Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,51.8240773708584
775029,4000000030233912,Bromley Hill,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,115.71259008288
775030,4000000030474680,Purley Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,7.99882491420197
775031,4000000030153050,Camden High Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,117.10891501122
775032,4000000030252720,Clapton Common,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,61.0967002043259
775033,4000000030099625,Battersea Park Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,217.332896831704
775034,4000000030342482,Horseferry Road,B Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,35.2480499633087
775035,4000000030145653,The Avenue,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,216.936743295434
775036,4000000030416681,Clapham Common South Side,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:46+00,31.5204612388442
775037,5000005260928839,Kennington Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,93.4181951175935
775038,4000000030082843,Ripple Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,1068.14879213295
775039,4000000030097810,Edgware Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,309.052675928222
775040,5000005134702944,London Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,12.5298348112617
775041,4000000030252718,Clapton Common,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,57.4295279203941
775042,4000000030146776,Loampit Vale,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,111.016386304685
775043,5000005155157112,South Lambeth Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,18.2661805025844
775044,5000005159044530,Clapham Common South Side,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:45+00,23.8607084983602
775045,4000000030102721,North Circular Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,328.104852889309
775046,4000000031182215,Parkfield Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,48.895078413305
775047,4000000030322005,Great West Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,57.0350769265989
775048,4000000030142688,Addiscombe Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,228.936008030231
775049,4000000030479638,Blackwall Lane,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,3.96032435629459
775050,4000000030425312,Camden Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,27.95840670731
775051,4000000030459948,Commercial Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,15.3996891206045
775052,5000005243471170,Park Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,21.867721279911
775053,4000000030081702,The Parkway,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,862.301385308608
775054,4000000030260537,Great Cambridge Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,115.110990342911
775055,4000000030406694,Hanger Lane,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,15.0332963943251
775056,4000000031071566,Clapham Common South Side,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:47+00,33.9289543053054
775057,5000005198117117,Archway Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,19.0631897149165
775058,4000000030206335,St Dunstans Hill,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,43.9816927818859
775059,4000000030403104,A297,A Road,Roundabout,19/04/2017,2022/01/21 15:31:44+00,22.3709425387598
775060,5000005127613811,Burdett Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:47+00,12.7231656938531
775061,4000000031231072,St Mildreds Road,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:44+00,24.0775672974479
775062,4000000030216106,Redcliffe Gardens,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,71.8149546573862
775063,5000005153433934,,Unknown,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,45.9074814341468
775064,4000000030134320,Battersea Park Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,158.067076147597
775065,4000000030131567,Faggs Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,158.007140901983
775066,5000005152156376,Bishopsgate,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,19.0949234938666
775067,4000000030251279,Holloway Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,94.2010234806565
775068,4000000030103927,Colchester Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,294.91416509256
775069,5000005280687106,New Kent Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,101.646195317129
775070,4000000030299450,Purley Way,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,63.2616434496683
775071,5000005152466961,Finchley Road,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:44+00,19.6512158132246
775072,4000000030341469,Lewisham High Street,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,37.93841181424
775073,4000000030406969,Earl's Court Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,18.3736773685896
775074,4000000030257868,Eastern Avenue,A Road,Roundabout,19/04/2017,2022/01/21 15:31:44+00,90.4908512832303
775075,5000005211129904,London Road,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:45+00,15.6242755087324
775076,4000000030474166,Wellington Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,7.61577311174136
775077,4000000030653740,Epsom Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:47+00,25.1550816521317
775078,4000000030210279,Chertsey Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:43+00,62.5386724764616
775079,4000000030419958,Tower Hill,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,13.8932097205821
775080,4000000030425558,Upper Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,34.9378906367038
775081,4000000030449070,Hatch Lane,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,12.9999999977881
775082,4000000030235829,Nine Elms Lane,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,75.992836464485
775083,5000005211371194,Hastings Road,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:46+00,15.9845307098634
775084,4000000031199575,Clapham Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,13.1934139819373
775085,4000000030407908,St John's Wood Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,33.3245617131744
775086,4000000030459816,Whitechapel Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,12.1312177970381
775087,4000000030451687,Bath Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,9.99999999982538
775088,4000000030361631,Eastern Avenue,A Road,Roundabout,19/04/2017,2022/01/21 15:31:45+00,38.739714806082
775089,4000000030157104,Southend Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,183.614566276825
775090,5000005222435186,Upper Richmond Road West,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,21.1497080701123
775091,4000000030420011,Whitechapel High Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,23.9929950621836
775092,4000000030341646,Peckham Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,74.7830770240317
775093,5000005208842431,Hastings Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,47.3319349423636
775094,4000000031162141,South Lambeth Place,Unknown,Traffic Island Link At Junction,,2022/01/21 15:31:47+00,34.7641243382066
775095,5000005211767792,Wickham Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,130.580974372028
775096,4000000030420304,Butcher Row,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,27.2672446958646
775097,5000005281258987,Hendon Way,A Road,Dual Carriageway,,2022/01/21 15:31:47+00,383.796378075966
775098,4000000030426944,Great Cambridge Road,A Road,Slip Road,19/04/2017,2022/01/21 15:31:46+00,43.4613224420455
775099,5000005209156253,London Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,42.3611548699719
775100,4000000030315981,Crown Lane,B Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,45.9071816032831
775101,5000005127800567,Commercial Street,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,32.8075988346272
775102,4000000030148069,Burdett Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,143.311338100854
775103,5000005127397292,Brompton Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,24.781302321531
775104,4000000030345778,Tower Hill,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:43+00,52.6444084471047
775105,4000000030239887,Old Kent Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,117.456623367319
775106,5000005103133047,Carshalton Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,21.6013606793849
775107,4000000030250327,Camden Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,68.9657559536957
775108,4000000030421489,Woolwich Ferry Roundabout,A Road,Roundabout,19/04/2017,2022/01/21 15:31:44+00,27.1711222159353
775109,5000005266397067,Kennington Lane,A Road,Traffic Island Link At Junction,,2022/01/21 15:31:46+00,19.2849073108793
775110,4000000030474147,North Circular Road,A Road,Slip Road,19/04/2017,2022/01/21 15:31:46+00,7.16258368385279
775111,4000000030452132,Pump Lane,Unknown,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,10.9999999998254
775112,5000005209157167,London Road,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:47+00,14.0498858577462
775113,5000005121270413,Hale Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:47+00,31.5784424551021
775114,4000000030232540,Croydon Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,67.9854016165549
775115,5000005275662279,Kew Road,A Road,Traffic Island Link At Junction,,2022/01/21 15:31:47+00,8.27770465985182
775116,4000000030853918,Fiveways Corner,A Road,Slip Road,19/04/2017,2022/01/21 15:31:46+00,14.9006696930276
775117,4000000031271448,Cromwell Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,41.8794774523154
775118,4000000030250641,Swinton Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,131.916698102308
775119,4000000030408855,White Hart Roundabout,A Road,Roundabout,19/04/2017,2022/01/21 15:31:45+00,21.3564510975779
775120,4000000031195849,Camden Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,6.41068748244497
775121,4000000030096187,Gunnersbury Avenue,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,143.91997709256
775122,5000005126357076,Hanger Lane,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,85.8165647006067
775123,4000000030236721,Catford Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,77.1543570808246
775124,4000000030348867,Pier Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,35.5400680147443
775125,5000005182094643,Mile End Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,43.1635928536231
775126,4000000030872321,Westway,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,16.6179993074912
775127,4000000030451426,Priory Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,18.8425485800454
775128,4000000030314197,London Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,48.3735464891632
775129,4000000030357175,Stoke Newington High Street,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,39.3130858373245
775130,4000000030883164,Clapham Common North Side,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,27.973726993921
775131,5000005153215751,Balham High Road,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:44+00,18.5561214955731
775132,5000005127558300,Chelsea Embankment,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,13.8143576446957
775133,4000000030318008,Chertsey Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,45.6440194580114
775134,5000005222138028,Stamford Hill,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,5.98509097714464
775135,4000000030315237,Reigate Avenue,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:46+00,40.6341644820616
775136,5000005208220336,St Dunstans Hill,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:46+00,19.3931734341326
775137,4000000030096333,Talgarth Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,452.552209643763
775138,4000000030347538,Well Hall Road,A Road,Roundabout,19/04/2017,2022/01/21 15:31:45+00,34.5766888267046
775139,5000005216336154,Croydon Road,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:46+00,19.5612510138388
775140,4000000030346822,Mile End Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:43+00,43.3491470565419
775141,5000005153585197,Clapham Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,25.3252210257117
775142,4000000030323273,Holland Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,43.9317652743012
775143,4000000030787068,Upper Richmond Road West,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:44+00,23.9449821689377
775144,4000000030457214,Chepstow Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,10.0498756210861
775145,4000000030314699,Carshalton Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,42.3792402012229
775146,4000000031177911,Cromwell Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,27.3406311088475
775147,4000000031292828,Bath Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,44.1739476735211
775148,4000000030431506,Petersfield Avenue,A Road,Slip Road,19/04/2017,2022/01/21 15:31:46+00,25.2240143326168
775149,5000005101728201,Wellington Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,17.8916136280481
775150,4000000030977469,Epsom Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:47+00,60.5197870999546
775151,5000005281259362,Croydon Road,A Road,Single Carriageway,,2022/01/21 15:31:47+00,6.1296929792705
775152,5000005101538299,Kender Street,Unclassified,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,16.8560028458268
775153,4000000030431355,Eastern Avenue East,A Road,Roundabout,19/04/2017,2022/01/21 15:31:46+00,16.1348049962997
775154,4000000030318820,The Parkway,A Road,Roundabout,19/04/2017,2022/01/21 15:31:43+00,35.5334428825332
775155,4000000030139942,North Circular Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,159.237272096375
775156,4000000030225210,Great North Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:43+00,114.551298553682
775157,5000005266469092,Tower Bridge Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,51.2887220079831
775158,4000000031002662,Great Eastern Street,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,12.8101883427042
775159,4000000030335045,Purley Way,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,53.5862012892636
775160,4000000030411506,Watford Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,37.0415946024806
775161,4000000030243803,Blackwall Tunnel,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:43+00,90.731661381651
775162,4000000030232510,Glebe Way,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,73.0056089096748
775163,4000000030320410,Lower Mortlake Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,47.4252384970215
775164,5000005134702935,London Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,11.8094491847413
775165,4000000030311573,Leatherhead Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,22.70832633682
775166,4000000030133774,West Hill,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,84.1143350803537
775167,4000000030474779,Shirley Road,A Road,Roundabout,19/04/2017,2022/01/21 15:31:45+00,5.84161925398931
775168,4000000030340543,Battersea Park Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,69.2190204002353
775169,5000005219674441,Hampstead Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,16.0102770610661
775170,4000000030235147,Poynders Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,82.6966592890813
775171,4000000030476793,North Circular Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,7.8102496750645
775172,4000000030407810,Park Lane,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,32.4394872474828
775173,4000000030240962,Mile End Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,34.9406292290073
775174,4000000030426326,Stoke Newington Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,20.0249843946461
775175,4000000031243266,A12,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,185.986248668517
775176,4000000030406270,Battersea Bridge Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,25.6637648546937
775177,4000000030417383,Stanstead Road,Unknown,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,24.6527097589864
775178,5000005223380892,Barking Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:47+00,84.289782111851
775179,4000000030407948,Marylebone Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,23.0867927959988
775180,5000005173191462,Acton Street,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,18.54553574873
775181,5000005181133234,Bridge Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:47+00,13.1139225657883
775182,5000005214784638,Masons Hill,A Road,Traffic Island Link,19/04/2017,2022/01/21 15:31:47+00,13.8234545020045
775183,4000000030337838,Croydon Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,67.8007269303278
775184,4000000030473495,Hogarth Lane,A Road,Roundabout,19/04/2017,2022/01/21 15:31:45+00,7.00000000011642
775185,4000000030208479,Morden Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,74.7916138000046
775186,4000000030463281,Seven Sisters Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,9.43398113185916
775187,4000000030254206,Broad Lane,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,86.3950982247217
775188,4000000030335049,Purley Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,28.460498944396
775189,4000000030334564,High Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,21.886143476971
775190,5000005195065549,South Lambeth Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,7.90243766985825
775191,4000000030153702,Seven Sisters Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,281.451414078245
775192,4000000030206999,Epsom Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,104.31584947165
775193,4000000030149775,Newham Way,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,144.415287186779
775194,4000000030420695,Eltham Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,30.0155755986178
775195,5000005180417786,Blackfriars Underpass,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,47.774592898132
