OBJECTID,TOID,ROADLABEL,DESCTERM,NATURE,TLRN_DATE,LAST_EDIT_DATE,Shape__Length
774532,4000000030455004,North Circular Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,15.6204993520816
774533,5000005153192447,Roehampton Vale,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,75.5825285642587
774534,4000000030402518,Epsom Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:45+00,32.8775118913205
774535,5000005208535584,Leatherhead Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,21.5541033317718
774536,4000000030317103,Faggs Road,Unknown,Slip Road,19/04/2017,2022/01/21 15:31:45+00,47.0000000010477
774537,5000005152966605,Lee High Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,44.6669153595893
774538,5000005152572478,Upper Clapton Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,60.1576327275062
774539,4000000030236724,Brownhill Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,84.1724420470938
774540,4000000030133522,Great Chertsey Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,146.176788802838
774541,4000000030417708,Lewisham Way,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:44+00,17.0410975279222
774542,4000000030420305,Butcher Row,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,26.6314981228073
774543,4000000030323812,Brompton Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,51.4486242742586
774544,4000000030134322,Battersea Park Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,140.518874205441
774545,4000000030212982,Lower Richmond Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:44+00,85.6647444978317
774546,4000000030414655,High Street,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,27.3358343074366
774547,4000000031286014,High Road,A Road,Traffic Island Link At Junction,19/04/2017,2022/01/21 15:31:44+00,25.5105893106102
774548,4000000030095361,Merantun Way,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:46+00,233.215461279114
774549,4000000030246632,East Rochester Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,144.174516516735
774550,4000000030312534,Country Way,Unknown,Slip Road,19/04/2017,2022/01/21 15:31:45+00,41.8144393796843
774551,4000000030420308,Commercial Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:43+00,24.4455347648218
774552,4000000030363066,Great Cambridge Road,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:46+00,50.1015722345398
774553,5000005121270465,High Road,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:47+00,88.5561178218054
774554,4000000030416671,Clapham Common South Side,A Road,Single Carriageway,19/04/2017,2022/01/21 15:31:45+00,7.3598345774065
774555,4000000030130581,Malden Way,A Road,Dual Carriageway,19/04/2017,2022/01/21 15:31:45+00,256.129047116178
