X,Y,L
-0.446407115124054,51.449124331582,n1
-0.446405894879729,51.44916028452,n2
-0.446433139310846,51.4492056069185,n3
-0.446460383795092,51.4492509293107,n4
-0.446510316277944,51.449287560041,n5
-0.446572717608762,51.4493333482341,n6
-0.446600877381568,51.4493517058898,n7
0.17812406704163,51.5901292371731,n8
0.178169058998133,51.5901643732421,n9
0.178363451781038,51.5903046495681,n10
0.179155029316333,51.5908564987972,n11
0.06908022479598,51.5363748339986,n12
0.069243749592319,51.5361651166355,n13
0.069962535012916,51.5351632340639,n14
0.070152001207624,51.5348898476317,n15
0.070896311099506,51.5338158273129,n16
0.071017004503477,51.5336158562081,n17
-0.268981481403225,51.5463015199205,n18
-0.267958496318598,51.5466551076297,n19
-0.267163625664601,51.5469454136954,n20
-0.267016625893356,51.5469990938271,n21
-0.266233142491727,51.5473389566412,n22
-0.265629376253521,51.5476008638661,n23
-0.264425836466594,51.5481495829063,n24
-0.264175313219142,51.5482897539228,n25
-0.263997546707632,51.5484130163027,n26
-0.263893906149414,51.5484834213514,n27
-0.26372918442464,51.5486428456328,n28
-0.26353289420462,51.5488737410405,n29
-0.26324945215773,51.5492240769957,n30
-0.263008946430984,51.5495213278022,n31
-0.262957742054823,51.5495846130474,n32
-0.262379489911674,51.5503763672189,n33
-0.262012128653607,51.5509011313137,n34
-0.261937123920978,51.5510082698074,n35
-0.261786116641952,51.551185879177,n36
-0.261635450762923,51.5513545010927,n37
-0.261456294828408,51.5515137083542,n38
-0.261381817471633,51.5515755510069,n39
-0.261263749808209,51.5516457399764,n40
-0.261152382997732,51.5517145713789,n41
-0.261106683774713,51.5517369953792,n42
-0.26105001951714,51.5517647871283,n43
-0.115608531594294,51.4612614253396,n44
-0.115740988626701,51.4610488647883,n45
-0.068113144529343,51.6148095526788,n46
-0.068317562008543,51.6148214326537,n47
-0.06854409749481,51.6148148550092,n48
-0.103943147424957,51.5644061368205,n49
-0.103917674789774,51.5643247928921,n50
-0.10392961022163,51.5642980083256,n51
-0.103949502576029,51.5642533673781,n52
-0.096849788136249,51.5295613046117,n53
-0.096793836373626,51.5295733640504,n54
-0.096785866516019,51.5295712204124,n55
-0.096723518285862,51.5295544718638,n56
-0.096709132513563,51.5295506054629,n57
-0.09669156832028,51.5295199346965,n58
-0.116047432971098,51.3928337919975,n59
-0.115195545898547,51.3932762466688,n60
-0.114879976001397,51.3934401519473,n61
-0.11475246973718,51.3935063731041,n62
-0.192136770708934,51.407009505961,n63
-0.192088551461649,51.4069761729158,n64
-0.192087739638445,51.4069756118433,n65
-0.192073841696159,51.4069134834113,n66
-0.192079315539941,51.4069055734398,n67
-0.192107844882672,51.4068643148971,n68
-0.222085937746633,51.3572073441413,n69
